"Postleitzahl","Jahr","Anzahl_Stationen","Orte"
69126,2020,"11","Heidelberg, Mannheim"
69115,2020,"7","Heidelberg"
69115,2021,"4","Heidelberg"
69121,2021,"4","Heidelberg"
69124,2020,"4","Heidelberg"
69117,2016,"3","Heidelberg"
69123,2021,"3","Heidelberg"
69118,2021,"3","Heidelberg"
69117,2020,"2","Heidelberg"
69124,2021,"2","Heidelberg"
69124,2022,"2","Heidelberg"
69120,2021,"2","Heidelberg"
69120,2020,"2","Heidelberg"
69117,2021,"2","Heidelberg"
69115,2019,"2","Heidelberg"
69117,2012,"2","Heidelberg"
69124,1999,"1","Heidelberg"
69124,2019,"1","Heidelberg"
69126,2019,"1","Heidelberg"
69066,2019,"1","Heidelberg"
69126,2021,"1","Heidelberg"
69115,1999,"1","Heidelberg"
69115,2011,"1","Heidelberg"
69115,2017,"1","Heidelberg"
69115,2018,"1","Heidelberg"
69117,1999,"1","Heidelberg"
69117,2017,"1","Heidelberg"
69117,2019,"1","Heidelberg"
69118,2019,"1","Heidelberg"
69118,2022,"1","Heidelberg"
69120,2016,"1","Heidelberg"
69120,2017,"1","Heidelberg"
69120,2018,"1","Heidelberg"
69120,2019,"1","Heidelberg"
69121,2020,"1","Heidelberg"
69123,2020,"1","Heidelberg"
